replicates,pool_size,prevalence,effective_samples
1,3,0.01,2.7379
1,3,0.02,2.5179
1,3,0.03,2.3898
1,3,0.04,2.2205
1,3,0.05,2.0735
1,3,0.060000000000000005,1.9448
1,3,0.06999999999999999,1.9054
1,3,0.08,1.7962
1,3,0.09,1.7625
1,3,0.09999999999999999,1.6988
1,3,0.11,1.5326
1,3,0.12,1.5326
1,3,0.13,1.4388
1,3,0.14,1.4388
1,3,0.15000000000000002,1.3558
1,3,0.16,1.396
1,3,0.17,1.3178
1,3,0.18000000000000002,1.2818
1,3,0.19,1.1849
1,3,0.2,1.2
1,3,0.21000000000000002,1.2
1,3,0.22,1.128
1,3,0.23,1.1557
1,3,0.24000000000000002,1.128
1,3,0.25,1.128
1,3,0.26,1.0763
1,3,0.27,1.0888
1,3,0.28,1.0888
1,3,0.29000000000000004,0.986
1,5,0.01,3.9496
1,5,0.02,3.3813
1,5,0.03,2.956
1,5,0.04,2.6257
1,5,0.05,2.3618
1,5,0.060000000000000005,2.0982
1,5,0.06999999999999999,1.8876
1,5,0.08,1.8876
1,5,0.09,1.7803
1,5,0.09999999999999999,1.6263
1,5,0.11,1.7472
1,5,0.12,1.4072
1,5,0.13,1.4506
1,5,0.14,1.2567
1,5,0.15000000000000002,1.3864
1,5,0.16,1.2737
1,5,0.17,1.1217
1,5,0.18000000000000002,1.1779
1,5,0.19,1.2082
1,5,0.2,1.1634
1,5,0.21000000000000002,1.1217
1,5,0.22,1.0586
1,5,0.23,1.0829
1,5,0.24000000000000002,1.0352
1,5,0.25,0.9514
1,5,0.26,1.024
1,5,0.27,1.0021
1,5,0.28,0.9812
1,5,0.29000000000000004,1.024
1,10,0.01,5.1087
1,10,0.02,3.4307
1,10,0.03,2.7326
1,10,0.04,2.3267
1,10,0.05,1.8651
1,10,0.060000000000000005,1.7939
1,10,0.06999999999999999,1.6376
1,10,0.08,1.5309
1,10,0.09,1.3947
1,10,0.09999999999999999,1.3545
1,10,0.11,1.2983
1,10,0.12,1.2304
1,10,0.13,1.1839
1,10,0.14,1.1137
1,10,0.15000000000000002,1.1271
1,10,0.16,1.0398
1,10,0.17,1.0398
1,10,0.18000000000000002,1.088
1,10,0.19,0.9751
1,10,0.2,1.0398
1,10,0.21000000000000002,0.9958
1,10,0.22,0.9958
1,10,0.23,0.9853
1,10,0.24000000000000002,0.9553
1,10,0.25,0.9751
1,10,0.26,0.9853
1,10,0.27,0.9363
1,10,0.28,0.9363
1,10,0.29000000000000004,0.9457
1,20,0.01,4.3318
1,20,0.02,2.5613
1,20,0.03,1.8913
1,20,0.04,1.5235
1,20,0.05,1.4529
1,20,0.060000000000000005,1.293
1,20,0.06999999999999999,1.1794
1,20,0.08,1.1944
1,20,0.09,1.0479
1,20,0.09999999999999999,1.1231
1,20,0.11,1.0364
1,20,0.12,0.9926
1,20,0.13,1.0032
1,20,0.14,1.0251
1,20,0.15000000000000002,1.0032
1,20,0.16,0.9822
1,20,0.17,0.9926
1,20,0.18000000000000002,0.9721
1,20,0.19,0.9524
1,20,0.2,0.9822
1,20,0.21000000000000002,0.9621
1,20,0.22,0.9822
1,20,0.23,0.9721
1,20,0.24000000000000002,0.9524
1,20,0.25,0.9524
1,20,0.26,0.9524
1,20,0.27,0.9524
1,20,0.28,0.9524
1,20,0.29000000000000004,0.9524
2,3,0.01,1.5
2,3,0.02,1.5
2,3,0.03,1.5
2,3,0.04,1.5
2,3,0.05,1.4688
2,3,0.060000000000000005,1.4536
2,3,0.06999999999999999,1.4242
2,3,0.08,1.4688
2,3,0.09,1.4242
2,3,0.09999999999999999,1.4242
2,3,0.11,1.3429
2,3,0.12,1.2703
